Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,52.417000,53.347000,52.261501,53.250000,53.250000,24752000
2018-01-03,53.215500,54.314499,53.160500,54.124001,54.124001,28604000
2018-01-04,54.400002,54.678501,54.200100,54.320000,54.320000,20092000
2018-01-05,54.700001,55.212502,54.599998,55.111500,55.111500,25582000
2018-01-08,55.111500,55.563499,55.081001,55.347000,55.347000,20952000
2018-01-09,55.470001,55.528500,55.061550,55.313000,55.313000,18050000
2018-01-10,54.855000,55.230000,54.805500,55.130501,55.130501,20856000
2018-01-11,55.314999,55.326248,54.979500,55.276001,55.276001,19566000
2018-01-12,55.120499,56.214500,55.057499,56.112999,56.112999,34410000
2018-01-16,56.625500,56.995499,55.891602,56.088001,56.088001,31506000
2018-01-17,56.311001,56.630001,55.850498,56.598999,56.598999,24052000
2018-01-18,56.570499,56.625500,55.875000,56.489498,56.489498,23964000
2018-01-19,56.591499,56.893002,56.415001,56.875500,56.875500,35564000
2018-01-22,56.874500,57.993999,56.755501,57.790501,57.790501,32360000
2018-01-23,57.992500,58.581348,57.937500,58.498501,58.498501,26662000
2018-01-24,58.866501,58.993000,58.052502,58.212002,58.212002,28332000
2018-01-25,58.626499,58.797001,58.138000,58.518501,58.518501,29610000
2018-01-26,58.754002,58.792000,57.905499,58.792000,58.792000,40376000
2018-01-29,58.824001,59.344501,58.598999,58.778999,58.778999,27578000
2018-01-30,58.391499,58.826000,58.175999,58.184502,58.184502,31126000
2018-01-31,58.528500,58.650002,57.956501,58.497002,58.497002,30774000
2018-02-01,58.130501,58.700001,57.875999,58.384998,58.384998,48242000
2018-02-02,56.099998,56.153500,55.363899,55.595001,55.595001,97158000
2018-02-05,54.529999,55.500000,52.601501,52.790001,52.790001,75966000
2018-02-06,51.359001,54.085499,51.156849,54.029999,54.029999,68960000
2018-02-07,54.077000,54.089001,52.412998,52.429001,52.429001,47384000
2018-02-08,52.770500,52.931000,50.033001,50.076000,50.076000,57182000
2018-02-09,50.862499,52.198502,49.627998,51.889000,51.889000,70118000
2018-02-12,52.400002,53.075001,52.046398,52.597000,52.597000,41154000
2018-02-13,52.250000,52.918499,52.204350,52.605000,52.605000,25302000
2018-02-14,52.447498,53.585999,52.337502,53.485001,53.485001,31116000
2018-02-15,53.953499,54.573952,53.216999,54.476002,54.476002,36868000
2018-02-16,54.420502,55.233501,54.415649,54.740002,54.740002,33590000
2018-02-20,54.528500,55.697498,54.425999,55.123001,55.123001,28462000
2018-02-21,55.323502,56.698502,55.316502,55.567001,55.567001,30258000
2018-02-22,55.809502,56.140999,55.129501,55.331501,55.331501,26344000
2018-02-23,55.632000,56.363998,55.235699,56.339500,56.339500,25220000
2018-02-26,56.389999,57.198002,56.334751,57.187500,57.187500,31182000
2018-02-27,57.062000,57.202000,55.900002,55.914501,55.914501,35482000
2018-02-28,56.151501,56.376499,55.161999,55.236500,55.236500,37652000
2018-03-01,55.393501,55.506001,53.350052,53.476002,53.476002,50318000
2018-03-02,52.653999,54.099949,52.405750,53.945999,53.945999,45432000
2018-03-05,53.757000,54.855000,53.450001,54.546501,54.546501,24044000
2018-03-06,54.960999,55.092499,54.488750,54.752998,54.752998,30656000
2018-03-07,54.459499,55.611000,54.274101,55.481998,55.481998,25850000
2018-03-08,55.765999,56.380001,55.639999,56.299999,56.299999,27102000
2018-03-09,56.799999,58.040001,56.623051,58.001999,58.001999,42560000
2018-03-12,58.192501,58.852501,57.870998,58.224998,58.224998,43446000
2018-03-13,58.500000,58.838001,56.666500,56.908501,56.908501,38144000
2018-03-14,57.260502,57.929501,57.071999,57.474499,57.474499,25828000
2018-03-15,57.498001,58.054001,56.727001,57.479000,57.479000,27908000
2018-03-16,57.707001,57.793999,56.598000,56.786499,56.786499,61840000
2018-03-19,56.000500,56.099499,54.450500,54.991001,54.991001,56118000
2018-03-20,54.950001,55.259998,54.173000,54.885502,54.885502,36638000
2018-03-21,54.637001,55.314999,54.257500,54.543999,54.543999,37578000
2018-03-22,54.094002,54.145000,52.295502,52.453999,52.453999,53340000
2018-03-23,52.351501,53.167999,51.061001,51.078499,51.078499,43134000
2018-03-26,52.299999,52.781502,50.419998,52.660500,52.660500,53302000
2018-03-27,53.150002,53.241951,49.846001,50.255001,50.255001,61906000
2018-03-28,49.900002,51.211498,49.032001,50.228001,50.228001,67386000
2018-03-29,50.581501,52.150002,50.145000,51.589500,51.589500,54536000
2018-04-02,51.140999,51.740002,49.518501,50.323502,50.323502,53608000
2018-04-03,50.695499,51.049500,49.703499,50.670502,50.670502,45502000
2018-04-04,49.670502,51.435902,49.650002,51.257000,51.257000,49694000
2018-04-05,52.066502,52.139500,51.006550,51.390499,51.390499,27260000
2018-04-06,51.000000,51.570999,50.151501,50.352001,50.352001,34928000
2018-04-09,50.840000,51.980000,50.703999,50.772499,50.772499,35032000
2018-04-10,51.321999,51.813999,50.567001,51.582001,51.582001,39490000
2018-04-11,51.399502,51.568199,50.793499,50.998501,50.998501,29678000
2018-04-12,51.251999,52.034500,51.071751,51.625500,51.625500,27140000
2018-04-13,52.043999,52.320999,51.148998,51.463501,51.463501,24460000
2018-04-16,51.849998,52.161999,51.337002,51.898998,51.898998,24224000
2018-04-17,52.568501,53.894001,52.412998,53.708000,53.708000,46406000
2018-04-18,53.871498,53.871498,53.311249,53.604000,53.604000,26882000
2018-04-19,53.470001,54.708248,53.409000,54.384998,54.384998,34954000
2018-04-20,54.099998,54.617500,53.478500,53.647999,53.647999,37794000
2018-04-23,53.893002,54.136002,53.035000,53.372501,53.372501,46826000
2018-04-24,52.599998,52.849998,50.529499,50.999001,50.999001,95206000
2018-04-25,51.276001,51.624500,50.765499,51.058998,51.058998,47822000
2018-04-26,51.475498,52.398998,50.909500,52.001999,52.001999,41590000
2018-04-27,52.299999,52.474998,51.279499,51.502499,51.502499,32396000
2018-04-30,51.500500,51.849998,50.842499,50.866501,50.866501,33426000
2018-05-01,50.682999,51.923500,50.410500,51.865501,51.865501,28558000
2018-05-02,51.404999,52.019451,51.143501,51.219002,51.219002,32062000
2018-05-03,50.950001,51.483749,50.314499,51.186001,51.186001,36302000
2018-05-04,50.845001,52.425499,50.845001,52.410500,52.410500,38774000
2018-05-07,52.461498,53.084000,52.355000,52.739498,52.739498,29322000
2018-05-08,52.926998,53.027500,52.357250,52.695499,52.695499,24354000
2018-05-09,52.904999,54.271999,52.818249,54.138000,54.138000,40656000
2018-05-10,54.301498,55.021999,54.282001,54.878502,54.878502,28860000
2018-05-11,54.680000,55.066502,54.545502,54.912998,54.912998,25074000
2018-05-14,55.000000,55.537498,54.955502,55.009998,55.009998,30362000
2018-05-15,54.500000,54.502499,53.673500,53.961498,53.961498,29898000
2018-05-16,53.865501,54.463501,53.813000,54.088501,54.088501,21946000
2018-05-17,53.994499,54.343498,53.674999,53.929501,53.929501,20876000
2018-05-18,53.092999,53.497002,53.034000,53.318001,53.318001,31304000
2018-05-21,53.702999,54.400002,53.682499,53.979000,53.979000,20464000
2018-05-22,54.178001,54.329498,53.334499,53.486500,53.486500,21800000
2018-05-23,53.256500,54.039001,53.085499,53.984501,53.984501,21214000
2018-05-24,53.950001,54.023499,53.307499,53.962002,53.962002,15336000
2018-05-25,53.951000,54.127998,53.688751,53.783001,53.783001,17988000
2018-05-29,53.244499,53.668499,52.761002,53.015999,53.015999,37302000
2018-05-30,53.151501,53.460499,52.841499,53.389999,53.389999,22770000
2018-05-31,53.377998,54.859501,53.377998,54.249500,54.249500,61766000
2018-06-01,54.967499,56.000000,54.924999,55.974998,55.974998,48432000
2018-06-04,56.116501,57.094501,56.100250,56.964500,56.964500,37792000
2018-06-05,57.049500,57.286900,56.659500,56.983002,56.983002,33560000
2018-06-06,57.108501,57.150002,56.287151,56.844002,56.844002,33964000
2018-06-07,56.566002,56.791000,55.826000,56.193001,56.193001,30400000
2018-06-08,55.909000,56.333500,55.607498,56.043499,56.043499,25816000
2018-06-11,55.930000,56.862999,55.930000,56.499500,56.499500,21586000
2018-06-12,56.553501,56.989498,56.536751,56.966000,56.966000,18240000
2018-06-13,57.056000,57.325001,56.668999,56.739498,56.739498,30128000
2018-06-14,57.192501,57.773499,57.032001,57.605999,57.605999,26868000
2018-06-15,57.443001,57.671001,57.174252,57.612999,57.612999,42450000
2018-06-18,57.182499,58.715500,57.179501,58.673000,58.673000,28274000
2018-06-19,57.924999,58.563499,57.700500,58.403000,58.403000,32420000
2018-06-20,58.765499,59.314301,58.458000,58.492001,58.492001,32970000
2018-06-21,58.742500,58.864750,57.611599,57.882999,57.882999,24762000
2018-06-22,57.957001,58.124851,57.362999,57.773998,57.773998,26220000
2018-06-25,57.180000,57.195499,55.639000,56.240501,56.240501,43146000
2018-06-26,56.400002,56.660500,55.832951,55.923000,55.923000,31264000
2018-06-27,56.067001,56.591801,55.181000,55.199001,55.199001,25878000
2018-06-28,55.104500,56.115501,54.800499,55.710999,55.710999,21448000
2018-06-29,56.000000,56.411350,55.750000,55.782501,55.782501,26302000
2018-07-02,54.950001,56.400002,54.689999,56.373001,56.373001,24346000
2018-07-03,56.791000,56.791000,55.000999,55.144501,55.144501,13580000
2018-07-05,55.526501,56.375000,55.424000,56.213501,56.213501,21334000
2018-07-06,56.179001,57.046501,56.036850,57.008499,57.008499,19922000
2018-07-09,57.424000,57.733501,57.171001,57.702499,57.702499,18180000
2018-07-10,57.848999,57.979500,57.479500,57.641998,57.641998,15968000
2018-07-11,57.229500,58.214500,57.049999,57.695000,57.695000,22400000
2018-07-12,57.994499,59.220501,57.796749,59.174000,59.174000,25038000
2018-07-13,59.250000,59.770851,59.000000,59.441002,59.441002,24438000
2018-07-16,59.469501,59.549999,58.964001,59.193001,59.193001,21114000
2018-07-17,58.611000,60.152000,58.529999,59.939999,59.939999,32208000
2018-07-18,59.827999,60.224998,59.516998,59.793999,59.793999,27872000
2018-07-19,59.549999,60.000000,59.166000,59.348000,59.348000,25534000
2018-07-20,59.348000,59.842999,59.210999,59.245499,59.245499,24948000
2018-07-23,59.050499,60.324501,59.049999,60.275002,60.275002,52384000
2018-07-24,63.129501,63.299999,61.778000,62.403999,62.403999,66364000
2018-07-25,61.956501,63.292999,61.956501,63.185001,63.185001,42556000
2018-07-26,62.549999,63.488548,62.451000,63.416500,63.416500,48112000
2018-07-27,63.549999,63.694500,61.549999,61.924999,61.924999,42612000
2018-07-30,61.400501,61.745800,60.573502,60.987000,60.987000,36998000
2018-07-31,61.000500,61.379398,60.279999,60.862999,60.862999,32894000
2018-08-01,61.400002,61.673500,60.510502,61.000500,61.000500,31344000
2018-08-02,60.294998,61.493999,60.239498,61.307499,61.307499,30626000
2018-08-03,61.480999,61.500000,60.752998,61.185501,61.185501,21792000
2018-08-06,61.250000,61.304401,60.789848,61.238499,61.238499,21634000
2018-08-07,61.849998,62.558498,61.808498,62.111000,62.111000,29880000
2018-08-08,62.023499,62.825001,61.900398,62.280499,62.280499,27406000
2018-08-09,62.494999,62.777100,62.300499,62.455002,62.455002,16972000
2018-08-10,62.150002,62.284752,61.599998,61.880501,61.880501,22174000
2018-08-13,61.848999,62.463650,61.682049,61.750500,61.750500,19946000
2018-08-14,61.759499,62.293499,61.255501,62.105000,62.105000,26962000
2018-08-15,61.463001,61.762001,60.475498,60.719002,60.719002,36576000
2018-08-16,61.236500,61.299999,60.127499,60.324501,60.324501,26864000
2018-08-17,60.101501,60.451000,59.411999,60.048000,60.048000,27792000
2018-08-20,60.250999,60.549999,59.731300,60.388500,60.388500,17416000
2018-08-21,60.400002,60.862999,60.017700,60.081001,60.081001,24112000
2018-08-22,60.000000,60.591999,59.950001,60.366501,60.366501,17748000
2018-08-23,60.356998,61.063999,60.212002,60.269001,60.269001,19852000
